,0,,1,",",2
420,13,",",35,",",11.01699734
421,13,",",37,",",10.62499905
422,13,",",39,",",10.22735786
423,13,",",37.63810349,",",10.5
424,13,",",41,",",9.8276968
425,11.88840771,",",43,",",9.5
426,13,",",43,",",9.427128792
427,13,",",42.64146805,",",9.5
428,13,",",45,",",9.020118713
429,13,",",47,",",8.613942146
430,13,",",49,",",8.202715874
431,13,",",47.55974197,",",8.5
432,13,",",51,",",7.790357113
433,11.02222061,",",53,",",7.5
434,13,",",53,",",7.376916409
435,13,",",52.40940857,",",7.5
436,13,",",55,",",6.959677696
437,13,",",57,",",6.544086933
438,13,",",59,",",6.12417984
439,13,",",57.21169662,",",6.5
440,13,",",61,",",5.705758095
441,13,",",63,",",5.286444664
442,13,",",61.98517609,",",5.5
443,13,",",65,",",4.866729259
444,12.23438549,",",67,",",4.5
445,13,",",67,",",4.449171782
446,13,",",66.75787354,",",4.5
447,13,",",69,",",4.029667377
448,13,",",71,",",3.613571882
449,13,",",73,",",3.197185278
450,13,",",71.54745483,",",3.5
451,13,",",75,",",2.783236742
452,11.16050148,",",77,",",2.5
453,13,",",77,",",2.371771216
454,13,",",76.3784256,",",2.5
455,13,",",79,",",1.961251974
456,13,",",81,",",1.555142283
457,13,",",83,",",1.149824142
458,13,",",81.27280426,",",1.5
459,13,",",85,",",0.748705357
460,13,",",86.2516861,",",0.5
461,15,",",1,",",16.65487099
462,15,",",3,",",16.54207039
463,15,",",5,",",16.3293314
464,15,",",3.426174641,",",16.5
465,15,",",7,",",16.05287266
466,15,",",9,",",15.73963928
467,13.50687885,",",11,",",15.5
468,15,",",11,",",15.39928627
469,15,",",10.44238567,",",15.5
470,15,",",13,",",15.03527832
471,15,",",15,",",14.6689539
472,15,",",17,",",14.29449749
473,15,",",15.93390083,",",14.5
474,15,",",19,",",13.9170475
475,15,",",21,",",13.54486179
476,15,",",23,",",13.16511917
477,15,",",21.24612236,",",13.5
478,15,",",25,",",12.78908157
479,13.94453907,",",27,",",12.5
480,15,",",27,",",12.41420937
481,15,",",26.55529594,",",12.5
482,15,",",29,",",12.03324127
483,15,",",31,",",11.65494633
484,15,",",33,",",11.27175903
485,15,",",31.82194138,",",11.5
486,15,",",35,",",10.88548851
487,14.99753284,",",37,",",10.5
488,15,",",37,",",10.49983501
489,15,",",36.99916458,",",10.5
490,15,",",39,",",10.10461998
491,15,",",41,",",9.709697723
492,15,",",43,",",9.310454369
493,15,",",42.0587883,",",9.5
494,15,",",45,",",8.906620979
495,15,",",47,",",8.502924919
496,15,",",49,",",8.091258526
497,15,",",47.01439285,",",8.5
498,15,",",51,",",7.680161953
499,15,",",53,",",7.265437603
500,15,",",51.87398911,",",7.5
501,15,",",55,",",6.848504543
502,13.80490398,",",57,",",6.5
503,15,",",57,",",6.431716919
504,15,",",56.67469406,",",6.5
505,15,",",59,",",6.010666847
506,15,",",61,",",5.591598034
507,15,",",63,",",5.169631958
508,15,",",61.43643188,",",5.5
509,15,",",65,",",4.748865604
510,15,",",67,",",4.328441143
511,15,",",66.18652344,",",4.5
512,15,",",69,",",3.907639027
513,14.84371471,",",71,",",3.5
514,15,",",71,",",3.490060806
515,15,",",70.95259857,",",3.5
516,15,",",73,",",3.07077527
517,15,",",75,",",2.655393839
